Year,Temp
196007,-0.01
196008,-0.01
196009,-0.01
196010,0
196011,-0.01
196012,0.01
196101,0.01
196102,0.01
196103,0.05
196104,0.07
196105,0.08
196106,0.09
196107,0.1
196108,0.1
196109,0.1
196110,0.09
196111,0.11
196112,0.08
196201,0.07
196202,0.07
196203,0.08
196204,0.07
196205,0.05
196206,0.05
196207,0.04
196208,0.04
196209,0.03
196210,0.04
196211,0.04
196212,0.06
196301,0.05
196302,0.05
196303,0.03
196304,0.03
196305,0.03
196306,0.03
196307,0.03
196308,0.05
196309,0.06
196310,0.07
196311,0.07
196312,0.07
196401,0.07
196402,0.04
196403,0.03
196404,0.01
196405,0
196406,-0.01
196407,-0.02
196408,-0.04
196409,-0.08
196410,-0.11
196411,-0.14
196412,-0.16
196501,-0.17
196502,-0.17
196503,-0.16
196504,-0.16
196505,-0.15
196506,-0.15
196507,-0.16
196508,-0.15
196509,-0.13
196510,-0.11
196511,-0.09
196512,-0.07
196601,-0.08
196602,-0.07
196603,-0.06
196604,-0.05
196605,-0.05
196606,-0.04
196607,-0.02
196608,-0.02
196609,-0.02
196610,-0.03
196611,-0.03
196612,-0.03
196701,-0.02
196702,-0.04
196703,-0.03
196704,-0.02
196705,0
196706,-0.01
196707,-0.02
196708,-0.01
196709,-0.01
196710,0.01
196711,0.01
196712,0.01
196801,0
196802,0
196803,0.01
196804,0.01
196805,-0.01
196806,-0.01
196807,-0.02
196808,-0.03
196809,-0.03
196810,-0.04
196811,-0.04
196812,-0.05
196901,-0.04
196902,-0.04
196903,-0.04
196904,-0.02
196905,0
196906,0.01
196907,0.02
196908,0.03
196909,0.04
196910,0.05
196911,0.07
196912,0.1
197001,0.12
197002,0.15
197003,0.15
197004,0.14
197005,0.12
197006,0.12
197007,0.12
197008,0.11
197009,0.11
197010,0.1
197011,0.09
197012,0.06
197101,0.04
197102,0.01
197103,-0.01
197104,-0.02
197105,-0.02
197106,-0.03
197107,-0.04
197108,-0.04
197109,-0.04
197110,-0.05
197111,-0.06
197112,-0.06
197201,-0.07
197202,-0.06
197203,-0.05
197204,-0.04
197205,-0.04
197206,-0.02
197207,-0.01
197208,0.01
197209,0.01
197210,0.03
197211,0.04
197212,0.06
197301,0.1
197302,0.14
197303,0.16
197304,0.18
197305,0.21
197306,0.22
197307,0.22
197308,0.22
197309,0.22
197310,0.22
197311,0.22
197312,0.2
197401,0.17
197402,0.12
197403,0.09
197404,0.05
197405,0.03
197406,0.01
197407,0
197408,0
197409,-0.02
197410,-0.03
197411,-0.04
197412,-0.05
197501,-0.04
197502,-0.01
197503,0.01
197504,0.02
197505,0.04
197506,0.04
197507,0.04
197508,0.03
197509,0.03
197510,0.02
197511,0.01
197512,0.01
197601,0.01
197602,-0.01
197603,-0.03
197604,-0.04
197605,-0.07
197606,-0.08
197607,-0.08
197608,-0.08
197609,-0.08
197610,-0.09
197611,-0.07
197612,-0.05
197701,-0.03
197702,-0.01
197703,0.03
197704,0.05
197705,0.09
197706,0.12
197707,0.14
197708,0.16
197709,0.17
197710,0.19
197711,0.21
197712,0.21
197801,0.2
197802,0.19
197803,0.19
197804,0.18
197805,0.17
197806,0.15
197807,0.13
197808,0.11
197809,0.11
197810,0.11
197811,0.11
197812,0.11
197901,0.11
197902,0.09
197903,0.09
197904,0.09
197905,0.09
197906,0.1
197907,0.1
197908,0.13
197909,0.14
197910,0.16
197911,0.17
197912,0.2
198001,0.22
198002,0.26
198003,0.27
198004,0.3
198005,0.32
198006,0.32
198007,0.34
198008,0.34
198009,0.34
198010,0.33
198011,0.33
198012,0.31
198101,0.32
198102,0.32
198103,0.33
198104,0.33
198105,0.32
198106,0.32
198107,0.32
198108,0.33
198109,0.33
198110,0.33
198111,0.33
198112,0.35
198201,0.32
198202,0.3
198203,0.27
198204,0.25
198205,0.24
198206,0.22
198207,0.21
198208,0.19
198209,0.19
198210,0.18
198211,0.17
198212,0.17
198301,0.21
198302,0.23
198303,0.26
198304,0.27
198305,0.29
198306,0.3
198307,0.31
198308,0.33
198309,0.35
198310,0.35
198311,0.37
198312,0.35
198401,0.33
198402,0.31
198403,0.3
198404,0.29
198405,0.29
198406,0.27
198407,0.27
198408,0.25
198409,0.24
198410,0.23
198411,0.21
